Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 50,04-03-2026,24388.8,24602.45,24305.4,24480.5,-385.2,-1.55,598993881,47700.19,21.42,3.33,1.27
Nifty Next 50,04-03-2026,67555.3,67575.1,66480.7,66799.4,-1850.85,-2.7,336805283,14756.75,18.67,3.46,1.38
Nifty 100,04-03-2026,25087.1,25239.2,24961.15,25118.25,-445.25,-1.74,935799164,62456.94,20.91,3.35,1.29
Nifty 200,04-03-2026,13682.35,13743.55,13600.3,13678.05,-253.25,-1.82,2095520548,84428.62,22.29,3.47,1.21
Nifty 500,04-03-2026,22438,22517.4,22283.15,22409.8,-426.15,-1.87,3229119573,112282.36,22.74,3.48,1.16
Nifty Midcap 50,04-03-2026,16290.9,16310.15,16084.5,16198.95,-321.4,-1.95,423020066,13183.68,31.23,4.31,.84
NIFTY Midcap 100,04-03-2026,57339.25,57399,56505.3,56925.15,-1255.35,-2.16,1159721384,21971.68,31.67,4.14,.85
NIFTY Smallcap 100,04-03-2026,16412.35,16413.4,16156.35,16281.5,-350.9,-2.11,771106127,16644.65,28.99,3.52,.78
Nifty50 Dividend Points,04-03-2026,-,-,-,277.39,0.0,-,-,-,-,-,-
Nifty Auto,04-03-2026,26979.4,27012.55,26607.2,26867.15,-672.95,-2.44,76549652,6215.59,31.76,4.61,1.18
Nifty Bank,04-03-2026,58447.15,59058.4,58393.55,58755.25,-1084.4,-1.81,363102095,12336.06,15.74,2.05,1
Nifty Energy,04-03-2026,36010.35,36044.25,35492.45,35589.6,-863.8,-2.37,551435045,15417.09,14.94,2.31,1.91
Nifty Financial Services,04-03-2026,26948.5,27169.95,26868.8,27020.45,-543.65,-1.97,172549159,15328.98,17.26,2.85,.85
Nifty FMCG,04-03-2026,50052.35,50315.8,49742.25,49797.5,-954.15,-1.88,46704967,2944.09,35.92,8.91,1.65
Nifty IT,04-03-2026,30092.2,30579.45,30092.2,30305.25,32.3,.11,47879294,4942.74,21.53,5.62,3.49
Nifty Media,04-03-2026,1370.15,1376.9,1341.5,1348.0,-42.35,-3.05,18680202,293.36,28.29,1.42,1.34
Nifty Metal,04-03-2026,12073,12105.2,11671.5,11779.75,-490.05,-3.99,222674623,7540.41,19.98,3.07,1.56
Nifty MNC,04-03-2026,30859,30883.95,30383.9,30469.0,-865.7,-2.76,59055258,5912.15,37.72,8.75,1.53
Nifty Pharma,04-03-2026,22702.55,22814.35,22528.2,22672.2,-284.5,-1.24,21855939,3152.24,33.93,4.94,.69
Nifty PSU Bank,04-03-2026,9479.4,9515.6,9227.1,9327.25,-312.1,-3.24,207054158,4302.74,9.25,1.52,2.06
Nifty Realty,04-03-2026,754.65,756.1,734,744.15,-23.9,-3.11,25686607,1984.71,33.52,3.6,.4
Nifty India Consumption,04-03-2026,11155.05,11235.75,11092.7,11189.05,-163.8,-1.44,172655923,17560.22,37.4,7.54,1
Nifty Commodities,04-03-2026,9695.4,9716.85,9520.25,9567.0,-282.55,-2.87,372752666,16097.67,16.08,2.27,1.65
Nifty Dividend Opportunities 50,04-03-2026,6178.95,6195.85,6106.7,6130.0,-116.65,-1.87,652888233,23594.02,14.08,2.84,2.8
Nifty Infrastructure,04-03-2026,9153.7,9164.7,8997.55,9117.8,-202.3,-2.17,401536285,23099.95,20.61,2.99,1
Nifty PSE,04-03-2026,10284.65,10288.25,10055.8,10090.7,-263.8,-2.55,384444714,11296.74,10.94,2.02,2.8
Nifty Services Sector,04-03-2026,31326.8,31767.8,31292.15,31604.9,-370.25,-1.16,346997588,27740.84,20.45,3.33,1.33
Nifty50 Shariah,04-03-2026,4372.85,4398.7,4347.5,4361.45,-48.95,-1.11,122508375,10125.15,24.26,4.19,2.16
Nifty500 Shariah,04-03-2026,6673.15,6687.45,6602.65,6632.0,-127.05,-1.88,842199787,34043.23,26.6,4.49,1.44
Nifty Low Volatility 50,04-03-2026,24493.8,24545.85,24318.25,24441.1,-436.75,-1.76,296955998,35391.28,29.56,4.92,1.22
Nifty Alpha 50,04-03-2026,49247.8,49256.95,48199.3,48631.1,-1348.35,-2.7,268560544,23243.98,30.22,4.2,.6
Nifty High Beta 50,04-03-2026,3649.2,3650.15,3571.5,3609.25,-95.5,-2.58,1034579760,18276.31,21.75,2.8,1.15
Nifty100 Equal Weight,04-03-2026,32879.25,32901,32446.2,32606.7,-796.6,-2.38,935799164,62456.94,21.76,3.62,1.29
Nifty100 Liquid 15,04-03-2026,7302.5,7308.05,7210.2,7274.9,-128.95,-1.74,311483237,20829.71,23.32,3.29,.89
Nifty CPSE,04-03-2026,7079.1,7082.05,6947.55,6973.55,-101.2,-1.43,206700679,6604.75,14.3,2.23,2.65
Nifty50 Value 20,04-03-2026,12611.25,12723.95,12583.1,12665.1,-132.6,-1.04,267838921,17254.45,16.85,2.91,1.93
Nifty Midcap Liquid 15,04-03-2026,14534.45,14642.55,14417.3,14575.8,-205.75,-1.39,244884144,5911.34,34.63,4.14,.7
Nifty Shariah 25,04-03-2026,7730.3,7745.8,7667.55,7690.7,-137.45,-1.76,119249817,9466.07,27.36,4.85,1.78
India VIX,04-03-2026,17.13,21.3675,16.9675,21.14,4.01,23.41,-,-,-,-,-
Nifty Growth Sectors 15,04-03-2026,11187.4,11240.05,11122.05,11192.95,-133.8,-1.18,59073473,9817.38,28.79,6.65,1.9
Nifty50 TR 1x Inverse,04-03-2026,176.1,176.65,174.6,175.45,2.7,1.56,-,-,-,-,-
Nifty50 TR 2x Leverage,04-03-2026,18978.4,19316.95,18847.95,19124.05,-616.95,-3.13,-,-,-,-,-
Nifty50 PR 1x Inverse,04-03-2026,215.45,216.15,213.65,214.65,3.3,1.56,-,-,-,-,-
Nifty50 PR 2x Leverage,04-03-2026,12655.3,12881.05,12568.3,12752.4,-411.45,-3.13,-,-,-,-,-
NIFTY100 Quality 30,04-03-2026,5457.95,5474.9,5420.1,5438.65,-76.75,-1.39,157401227,14692.55,29.48,7.47,1.9
Nifty India Corporate Group Index - Mahindra Group,04-03-2026,-,-,-,34992.51,-510.52,-1.44,8893979,1851.01,25.05,4.39,1.41
Nifty India Corporate Group Index - Aditya Birla Group,04-03-2026,-,-,-,8865.82,-275.27,-3.01,504540160,2226.25,83.25,3.05,.48
Nifty India Corporate Group Index - Tata Group,04-03-2026,-,-,-,14611.79,-339.31,-2.27,232629007,10719.82,30.42,5.3,2.07
Nifty India Corporate Group Index - Tata Group 25% Cap,04-03-2026,14618.6,14618.75,14298.65,14374.95,-422.4,-2.85,106195330,4448,35.15,4.55,1.56
Nifty Private Bank,04-03-2026,27638.55,28088.75,27622.9,27929.1,-428.85,-1.51,260500196,9051.28,19.56,2.2,.56
Nifty Smallcap 250,04-03-2026,15355.6,15362.9,15139.9,15250.6,-329.8,-2.12,1008740490,24661.73,25.09,3.26,.78
Nifty Smallcap 50,04-03-2026,8060.65,8063.85,7929,7991.45,-175.8,-2.15,189809177,5449.55,28.78,3.54,.81
Nifty Midcap 150,04-03-2026,21164.75,21180.7,20850,21004.95,-471.3,-2.19,1284579919,25163.69,31.31,4.25,.86
Nifty Midcap Select,04-03-2026,13097.7,13112.2,12929,13034.35,-255.5,-1.92,286181469,8751.88,27.41,4.3,.85
NIFTY LargeMidcap 250,04-03-2026,15928.4,15952.9,15779.65,15877.7,-318.95,-1.97,2220379083,87620.63,25.09,3.75,1.07
NIFTY SME EMERGE,04-03-2026,12345.4,12359.65,12197.45,12258.2,-147.2,-1.19,-,-,20.61,3.24,.26
Nifty Oil & Gas,04-03-2026,11828.6,11833.55,11597.3,11630.9,-370.4,-3.09,217471173,9557.76,9.83,1.59,2.22
Nifty Financial Services 25/50,04-03-2026,29199.5,29444.5,29124.1,29287.3,-601.65,-2.01,172549159,15328.98,17.02,2.96,.95
