name,url
Maruti Global Industries,https://www.screener.in/company/531319/
Carnation Inds.,https://www.screener.in/company/530609/
Monotype India,https://www.screener.in/company/505343/
Union Qual. Pla.,https://www.screener.in/company/526799/
IMEC Services,https://www.screener.in/company/513295/
Mediaone Global,https://www.screener.in/company/503685/
Connplex Cinemas,https://www.screener.in/company/CONNPLEX/
Ksolves India,https://www.screener.in/company/KSOLVES/consolidated/
Sanofi Consumer,https://www.screener.in/company/SANOFICONR/
iStreet Network,https://www.screener.in/company/524622/
Aqylon Nexus,https://www.screener.in/company/AQYLON/
Wework India,https://www.screener.in/company/WEWORK/
SSMD Agrotech,https://www.screener.in/company/544621/
Reganto Enterprises,https://www.screener.in/company/517393/
Brandman Retail,https://www.screener.in/company/BRANDMAN/consolidated/
PNGS Reva Diamo.,https://www.screener.in/company/PNGSREVA/
Ambitious Plasto,https://www.screener.in/company/526439/
Tips Music,https://www.screener.in/company/TIPSMUSIC/
Stellant Secu.,https://www.screener.in/company/526071/
Magnus Steel,https://www.screener.in/company/517320/
Colgate-Palmoliv,https://www.screener.in/company/COLPAL/
Noble Polymers,https://www.screener.in/company/539200/
P & G Hygiene,https://www.screener.in/company/PGHH/
Yuvraaj Hygiene,https://www.screener.in/company/531663/
Mobilise App,https://www.screener.in/company/MOBILISE/
Krishna Fil. Ind,https://www.screener.in/company/KRISNAFILA/
TPI India,https://www.screener.in/company/500421/
Safe Enterprises,https://www.screener.in/company/SAFEENTP/consolidated/
Nestle India,https://www.screener.in/company/NESTLEIND/
Workmates Core2,https://www.screener.in/company/544610/consolidated/
Apsis Aerocom,https://www.screener.in/company/APSISAERO/
Bridge Securitie,https://www.screener.in/company/530249/
Glottis,https://www.screener.in/company/GLOTTIS/
Ravelcare,https://www.screener.in/company/544629/
B.A.G. Converge.,https://www.screener.in/company/BAGDIGITAL/
Shri Kanha Stain,https://www.screener.in/company/SHRIKANHA/
Saffron Industri,https://www.screener.in/company/531436/
Shantidoot Infra,https://www.screener.in/company/543598/
Nexus Surgical,https://www.screener.in/company/538874/
Newtrac Foods,https://www.screener.in/company/514060/
Icodex Publish.,https://www.screener.in/company/544483/
RRP Defense,https://www.screener.in/company/530929/
Waaree Renewab.,https://www.screener.in/company/WAAREERTL/consolidated/
TechD Cybersec.,https://www.screener.in/company/TECHD/
RRPSemiconductor,https://www.screener.in/company/504346/
Family Care,https://www.screener.in/company/516110/
DCM,https://www.screener.in/company/DCM/consolidated/
Standard Battery,https://www.screener.in/company/504180/
Oswal Pumps,https://www.screener.in/company/OSWALPUMPS/consolidated/
Indosolar,https://www.screener.in/company/WAAREEINDO/
Sunsky Logistics,https://www.screener.in/company/544566/
GK Energy,https://www.screener.in/company/GKENERGY/
Swojas Foods,https://www.screener.in/company/530217/
Marc Loire,https://www.screener.in/company/544437/
Studio LSD,https://www.screener.in/company/STUDIOLSD/
Maha Rashtra Apx,https://www.screener.in/company/MAHAPEXLTD/consolidated/
Shilchar Tech.,https://www.screener.in/company/SHILCTECH/
Game Changers,https://www.screener.in/company/544594/
Australian Prem,https://www.screener.in/company/APS/
Meghna Infracon,https://www.screener.in/company/538668/consolidated/
Esab India,https://www.screener.in/company/ESABINDIA/
Network People,https://www.screener.in/company/NPST/consolidated/
Ontic Finserve,https://www.screener.in/company/540386/
Siemens Ener.Ind,https://www.screener.in/company/ENRIN/
NINtec Systems,https://www.screener.in/company/NINSYS/consolidated/
JD Cables,https://www.screener.in/company/544524/
Sharvaya Metals,https://www.screener.in/company/544506/
Dam Capital Advi,https://www.screener.in/company/DAMCAPITAL/
Prime Urban,https://www.screener.in/company/521149/consolidated/
TCS,https://www.screener.in/company/TCS/consolidated/
Helloji Holidays,https://www.screener.in/company/544630/
Glaxosmi. Pharma,https://www.screener.in/company/GLAXO/consolidated/
Adcounty Media.,https://www.screener.in/company/544435/
C K K Retail,https://www.screener.in/company/CKKRETAIL/
RNIT AI Solution,https://www.screener.in/company/517286/
Billionbrains,https://www.screener.in/company/GROWW/consolidated/
Neptune Pet.,https://www.screener.in/company/NEPTUNE/
Savy Infra,https://www.screener.in/company/SAVY/
Infinity Infoway,https://www.screener.in/company/544567/consolidated/
Chemkart India,https://www.screener.in/company/544442/consolidated/
Nanta Tech,https://www.screener.in/company/544668/
Global Ocean,https://www.screener.in/company/544665/
Cochin Malabar,https://www.screener.in/company/508571/
Hindustan Zinc,https://www.screener.in/company/HINDZINC/
Castrol India,https://www.screener.in/company/CASTROLIND/
Influx Health.,https://www.screener.in/company/INFLUX/
Ingersoll-Rand,https://www.screener.in/company/INGERRAND/
Crestchem,https://www.screener.in/company/526269/
EPW India,https://www.screener.in/company/EPWINDIA/
Pajson Agro,https://www.screener.in/company/544657/
Owais Metal,https://www.screener.in/company/OWAIS/
Spice IslandsInd,https://www.screener.in/company/526827/
Page Industries,https://www.screener.in/company/PAGEIND/
Websol Energy,https://www.screener.in/company/WEBELSOLAR/
Sigma Solve,https://www.screener.in/company/SIGMA/consolidated/
Snehaa Organics,https://www.screener.in/company/SNEHAA/
PNGS Gargi FJ,https://www.screener.in/company/543709/
Sanofi India,https://www.screener.in/company/SANOFI/
Bhadora Indust.,https://www.screener.in/company/BHADORA/
Shekhawati Inds,https://www.screener.in/company/SHEKHAWATI/
Tenneco Clean,https://www.screener.in/company/TENNIND/consolidated/
LG Electronics,https://www.screener.in/company/LGEINDIA/
Chatterbox Tech,https://www.screener.in/company/544546/
Accretion Nutraveda,https://www.screener.in/company/544694/
One Global Serv,https://www.screener.in/company/514330/
Anand Rathi Wea.,https://www.screener.in/company/ANANDRATHI/consolidated/
Swaraj Engines,https://www.screener.in/company/SWARAJENG/
Gillette India,https://www.screener.in/company/GILLETTE/
Trade-Wings,https://www.screener.in/company/509953/consolidated/
Gurunanak Agri.,https://www.screener.in/company/GURUNANAK/
Telge Projects,https://www.screener.in/company/544544/consolidated/
Sheshadri Indus.,https://www.screener.in/company/539111/
Shakti Pumps,https://www.screener.in/company/SHAKTIPUMP/consolidated/
Exim Routes,https://www.screener.in/company/EXIMROUTES/consolidated/
Optivalue Tek,https://www.screener.in/company/OPTIVALUE/
Cash UR Drive,https://www.screener.in/company/CUDML/
Cams Services,https://www.screener.in/company/CAMS/
GE Vernova T&D,https://www.screener.in/company/GVT&D/
Rajesh Power,https://www.screener.in/company/544291/
ACE Alpha Tech,https://www.screener.in/company/544431/
Hyundai Motor I,https://www.screener.in/company/HYUNDAI/
Purple Wave Info,https://www.screener.in/company/544627/
International Ge,https://www.screener.in/company/IGIL/consolidated/
Accelya Solution,https://www.screener.in/company/ACCELYA/consolidated/
Indian Energy Ex,https://www.screener.in/company/IEX/
Sathlokhar Sys.,https://www.screener.in/company/SSEGL/
Arrow Greentech,https://www.screener.in/company/ARROWGREEN/consolidated/
Life Insurance,https://www.screener.in/company/LICI/consolidated/
Britannia Inds.,https://www.screener.in/company/BRITANNIA/consolidated/
ARC Insulation,https://www.screener.in/company/ARCIIL/
Saatvik Green,https://www.screener.in/company/SAATVIKGL/consolidated/
Goenka Business,https://www.screener.in/company/538787/
Grover Jewells,https://www.screener.in/company/GJL/
Zelio E-Mobility,https://www.screener.in/company/544563/
Genesis IBRC,https://www.screener.in/company/514336/
Gujarat Kidney,https://www.screener.in/company/GKSL/consolidated/
Infonative Solu.,https://www.screener.in/company/544393/
Mehul Colours,https://www.screener.in/company/544472/
Meta Infotech,https://www.screener.in/company/544441/
Pro FX,https://www.screener.in/company/PROFX/
Aayush Wellness,https://www.screener.in/company/539528/
SBEC Systems,https://www.screener.in/company/517360/consolidated/
Alpex Solar,https://www.screener.in/company/ALPEXSOLAR/consolidated/
Pushpa Jewellers,https://www.screener.in/company/PUSHPA/
Tata Tele. Mah.,https://www.screener.in/company/TTML/
Jeena Sikho,https://www.screener.in/company/JSLL/
Atlanta Electric,https://www.screener.in/company/ATLANTAELE/
LGT Business,https://www.screener.in/company/544489/
Unique Organics,https://www.screener.in/company/530997/
Jyoti Resins,https://www.screener.in/company/514448/
Icon Facil.,https://www.screener.in/company/544426/
Infronics Sys.,https://www.screener.in/company/537985/
Avana Electrosystems,https://www.screener.in/company/AVANA/
Euro Pratik Sale,https://www.screener.in/company/EUROPRATIK/consolidated/
Srinibas Pradhan,https://www.screener.in/company/SPCON/consolidated/
I R C T C,https://www.screener.in/company/IRCTC/
Defrail Technologies,https://www.screener.in/company/544677/consolidated/
Gaudium IVF,https://www.screener.in/company/GAUDIUMIVF/consolidated/
Central Mine Pla,https://www.screener.in/company/CMPDI/
Career Point Edu,https://www.screener.in/company/CPEDU/consolidated/
Coal India,https://www.screener.in/company/COALINDIA/consolidated/
Crizac,https://www.screener.in/company/CRIZAC/consolidated/
Taparia Tools,https://www.screener.in/company/505685/
Unified Data,https://www.screener.in/company/544406/
P & G Health Ltd,https://www.screener.in/company/PGHL/
Indo SMC,https://www.screener.in/company/544681/
Canara Robeco,https://www.screener.in/company/CRAMC/
Shine Fashions,https://www.screener.in/company/543244/
Repono,https://www.screener.in/company/544463/
Sodhani Capital,https://www.screener.in/company/544560/
Unifinz Capital,https://www.screener.in/company/541358/
Vandan Foods,https://www.screener.in/company/544436/
ADC India,https://www.screener.in/company/523411/
BSE,https://www.screener.in/company/BSE/consolidated/
Greenleaf Envi.,https://www.screener.in/company/GREENLEAF/
Invicta Diagnos.,https://www.screener.in/company/INVICTA/consolidated/
Monarch Surve.,https://www.screener.in/company/544453/
Accretion Pha.,https://www.screener.in/company/ACCPL/
Abbott India,https://www.screener.in/company/ABBOTINDIA/
Renol Polychem,https://www.screener.in/company/RNPL/
Neetu Yoshi,https://www.screener.in/company/544434/consolidated/
Encompass Design,https://www.screener.in/company/ENCOMPAS/
Mahalaxmi Seam.,https://www.screener.in/company/513460/
